,0,1,2,3,4,5,6,7,8,9,10
CarryMinati-Tweets-Analysis,python,tweepy-api,nlp,wordcloud,project,,,,,,
CodeBoi-Django-Blog,django,python,project,,,,,,,,
Coronavirus_Notifier,python,plyer,beautifulsoup,project,,,,,,,
Data-Analysis-Hub,data-science,data-analysis,pandas,matplotlib,seaborn,kaggle,google-play-store,project,,,
FirstPyGame,python,pygame,project,,,,,,,,
FlaskWebsite,flask,flask-sqlalchemy,python,flask-mail,sqlite,html,css,jinja2-templates,project,,
HackInIndia,python,html,css,bootstrap,sqlalchemy,nlp,flask,jinja2-templates,sqlite,hackathon,project
HackTheHourGlassHackathon,python,html,css,data-collection,ocr,keras-tensorflow,flask,hackathon,project,,
IPUResultAndroidApp,python,kivymd,rest-api,kivy,buildozer,android,jwt-authentication,project,,,
PyWebScarp,beautifulsoup,python,project,,,,,,,,
Technocolab-Final-Project,python,numpy,pandas,seaborn,sklearn,flask,html,css,project,,
TelegramBot-IPU,telegram-bot-api,python,heroku,rest-api,jwt-authentication,project,,,,,
Whatsapp_Automation,python,selenium-webdriver,project,,,,,,,,
